Boarding Points,Latitude,Longitude,Demand
Avadi Bs,11.18117451,78.72970748,16
Avadi check post,11.6164012,79.12981953,13
Ponnu super market,17.05719795,78.3179804,12
J.P.Estate,17.24805536,80.61245081,6
Paruthipattu,14.92708954,79.54733364,7
Kaduvetti,19.90385043,80.74651516,19
Seeneerkuppam,15.17630159,79.64085596,20
Seeneer bridge,16.03010065,80.1445514,7
Karayanchavadi,13.3049088,79.98506896,4
Kallarai,18.75381284,78.89536573,11
GRT,19.39630205,80.17792393,5
Beer company signal,13.31527023,78.69243313,16
Nazarath pettai,19.42752376,80.4873616,18
Thirumilashai Signal,14.39369995,78.92539871,6
Sembarambakkam,11.66888465,78.49207442,1
Pappanchatram,10.27729556,80.82327495,20
Spr checkpost,12.72843351,78.44978711,13
Spr Bs,13.20911329,80.08855027,2
High school,17.31715415,80.86565218,20
Thiruvallur Bs,11.8794409,78.24338602,20
Kakkallur Signal,10.89228434,78.0445386,13
Manavalanagar Bridge,13.82713969,80.54486424,15
Manavalanagar Signal,19.43768053,78.37254649,13
Keel Nallathur,18.78638012,79.74848259,19
Mel Nallathur,16.62538302,78.55183242,9
Pollivakkkam,18.33988306,80.79906756,13
Kattukoot road,17.49539331,78.80276509,13
Om Nagar,18.15472822,79.42975629,9
Thodukadu,13.40535693,78.21486724,16
Chrompet RLY Station,12.01521981,80.74771174,19
MIET,17.53567072,78.40240566,5
MEPZ,19.47875879,80.10569905,18
Tambaram,12.65477033,78.82872068,4
Tambaram u birdge,11.33858833,79.02138455,3
Irumbuliyur,11.83633162,80.08823818,0
Erikkarai,15.11761623,78.04106067,20
Perungalathur,18.79359155,78.07197852,20
Salamangalam,13.33994168,78.04031111,0
ESI Hospital,11.56068219,79.44069302,9
Mudichur Kulam stop,10.65926476,78.98758562,13
Old perungalathur,13.6446278,79.34903801,19
Krishna Nagar,15.84525875,79.42305292,12
Mudichur church,10.30529183,78.35756568,1
Manimangalam,12.95065752,78.00159457,14
Lakshmi Nagar,19.58281531,79.30916344,4
Chengalpet GH,15.84819257,79.6201973,5
Chengalpet new BS,18.43130895,79.89827819,6
Paranur toll,10.06050584,79.70884185,20
Mahendra city,13.32626744,79.88400038,8
SP Koil Bus Stand,16.1768562,79.16437831,14
Kattankolathur BS,11.23887337,80.68856635,0
Potheri/SRM,12.36070558,79.67303833,0
Guduvanchery Bus Stand,14.2635338,80.73500824,16
Urappakkam Bus Stand,17.20316467,80.70097625,19
Vandalur bus stand,15.16355587,79.17528855,19
Vandalur over bridge,17.97372861,80.011697,0
Loiee (padappai),16.6114835,80.40527279,15
Arun Excello,13.08059779,78.25159856,4
Padappai Petrol bunk,17.30153504,79.13900532,7
Jamai Ice cream,12.48459231,79.4108881,2
Seprananchery,17.21432717,79.09519651,16
Pookadai chatram,11.57557182,78.25685934,18
Kanchipuram BS,11.40614623,80.46702243,11
Mongilmandapam,13.63820526,80.78863337,12
Housing board,16.9420839,78.51002093,1
Orrikai Depo,17.0202397,78.37591497,13
Periyarnagar,10.1714477,80.32811496,17
Iyyempettai,18.41504722,79.29165123,13
Ekkanampet,18.85496409,78.30960357,10
Walajabad,18.88433357,78.37217142,19
Deveripakkam,13.34938562,80.01080868,19
Varanavasi,18.35522706,78.36687522,18
Panruti,16.76095206,80.27744398,6
Vallam Plant,15.38592668,79.66532392,15
Retteri Signal,14.22504564,80.15068686,20
Padi bridge under,15.37964389,78.33651723,10
Rohini theatre (bus stop),17.96064875,79.23136783,13
Nerkundram Bus stop,15.17099075,80.54709186,7
Onion Mandi,18.07879951,80.42004778,14
MGR university bus stop,14.29211094,80.36552696,7
Ration shop,18.86239903,80.44787155,17
Maduravoyal Erikkarai stop,10.96954327,78.88434844,14
Tollgate,12.16538119,80.76480786,1
Rajakadai,17.73185736,79.32902301,8
Thiruvotriyur,13.38369218,79.39503559,8
Ernavoor Bridge,15.20136187,78.48548442,3
Sathiyamoorthy nagar,11.41731778,79.01877771,8
MFL,11.41210976,79.5043004,1
Manjambakkam,17.06653684,78.31796135,5
Madhavaram Bridge Under,11.56666563,80.26566424,1
Korattur Bs,14.39337256,78.66016902,15
Britania Company,17.3405531,80.93745658,6
Ambathur Estate,12.57471659,79.74515246,13
Mogappair West,10.28052649,80.67611895,11
Porur Tollgate,19.88926819,79.99529229,5
MM Nagar,10.94491214,79.93338739,19
Ford Gate,16.35602816,78.83526433,20
Keelakaranai,14.94537475,79.60289736,3
Sp koil,13.08471287,80.9333696,15
Adyar Aavin park,15.27430016,80.98252798,13
Besant nagar Bus stop,17.59290692,78.43839882,18
Vannandurai Bus stop,11.83580972,80.8464057,5
Adyar Bus depot,10.70490386,80.98267279,8
Thiruvanmiyur signal,18.74277424,79.33465486,4
SRP Tools Bus stop,12.3552735,79.5255701,16
Vijayanagar Bus stop,17.78812893,80.04902196,9
Kaiveli Bus stop,16.70132368,79.18767631,14
Pallikaranai Bus stop,14.83709917,79.07341384,8
Medavakkam Bus Stop,10.98085308,80.98556173,10
Medavakkam Koot Road,12.22517369,80.28092357,10
