Boarding Points,Latitude,Longitude,Demand
Avadi Bs,11.76627134,78.88944981,16
Avadi check post,11.50503782,79.73235639,5
Ponnu super market,13.29628515,79.36204456,4
J.P.Estate,14.30461001,79.63762103,4
Paruthipattu,11.19202566,79.52933056,3
Kaduvetti,12.92766072,80.47473542,3
Seeneerkuppam,11.8345276,80.79467704,10
Seeneer bridge,13.78257664,80.76093318,0
Karayanchavadi,12.38921509,78.3143327,20
Kallarai,13.02367154,78.24549493,8
GRT,13.63843587,80.13949086,16
Beer company signal,11.31453914,80.52400444,16
Nazarath pettai,11.35142561,80.66495531,11
Thirumilashai Signal,13.01153819,80.04839595,14
Sembarambakkam,12.87210383,79.17451583,16
Pappanchatram,12.30300321,78.71446922,17
Spr checkpost,13.93635858,80.96811297,9
Spr Bs,13.79723928,78.78332685,20
High school,11.08792724,80.22959188,18
Thiruvallur Bs,11.82125333,79.54413421,7
Kakkallur Signal,12.22303141,80.35942097,2
Manavalanagar Bridge,14.88752789,80.41475269,19
Manavalanagar Signal,11.60290351,79.47943786,4
Keel Nallathur,11.78184425,80.89650104,0
Mel Nallathur,13.6667718,78.66393987,2
Pollivakkkam,14.82021596,78.70384115,1
Kattukoot road,11.01559927,80.84220585,6
Om Nagar,14.8401052,80.49718344,15
Thodukadu,11.01740682,78.33350899,0
Chrompet RLY Station,13.68366934,79.7280368,8
MIET,12.21008416,80.43157956,0
MEPZ,11.44116675,79.75448754,12
Tambaram,11.12511572,80.31733649,15
Tambaram u birdge,14.38291624,79.54853163,9
Irumbuliyur,13.1034465,80.06316502,4
Erikkarai,12.66465329,79.07967287,4
Perungalathur,11.38346074,79.00885832,20
Salamangalam,11.04434336,78.43533914,14
ESI Hospital,12.97573039,78.19239569,5
Mudichur Kulam stop,14.01830003,78.97737516,5
Old perungalathur,12.52384714,78.71175952,17
Krishna Nagar,12.92046652,78.24894608,6
Mudichur church,14.12914065,78.45236464,7
Manimangalam,12.32861414,79.4065358,2
Lakshmi Nagar,12.73616151,78.38495975,14
Chengalpet GH,11.15765559,80.52183789,19
Chengalpet new BS,13.29046737,78.46260138,13
Paranur toll,11.60243377,78.18575269,20
Mahendra city,13.36307687,80.08093392,4
SP Koil Bus Stand,14.04058692,79.30307336,19
Kattankolathur BS,11.73241156,78.73763207,19
Potheri/SRM,12.5771763,79.36188009,5
Guduvanchery Bus Stand,14.75104211,79.05849353,1
Urappakkam Bus Stand,11.59074179,78.59605979,2
Vandalur bus stand,11.02149699,79.72335939,12
Vandalur over bridge,14.77522203,78.73863287,7
Loiee (padappai),14.49344517,78.75025193,12
Arun Excello,12.00449125,80.17675476,8
Padappai Petrol bunk,11.35091615,78.22615609,16
Jamai Ice cream,12.75882033,79.97524609,2
Seprananchery,11.13723004,80.95967864,9
Pookadai chatram,11.90075956,78.45675335,20
Kanchipuram BS,14.0182046,80.88105408,1
Mongilmandapam,13.20792819,80.11201486,3
Housing board,11.91937843,79.04780671,20
Orrikai Depo,13.32432638,80.58086861,8
Periyarnagar,11.99540031,79.47543881,17
Iyyempettai,13.31915605,78.12663439,13
Ekkanampet,11.45733706,78.77154796,1
Walajabad,13.71367215,78.67791943,3
Deveripakkam,12.09323237,79.43540401,9
Varanavasi,14.16121218,80.13976949,6
Panruti,12.93197949,78.53638208,16
Vallam Plant,12.2411124,80.4447871,20
Retteri Signal,14.02443082,80.17995409,0
Padi bridge under,14.41367707,79.55976972,8
Rohini theatre (bus stop),14.57415794,78.30921229,8
Nerkundram Bus stop,12.57637154,78.74469724,14
Onion Mandi,13.56614832,79.78508232,19
MGR university bus stop,12.43015426,80.00185312,18
Ration shop,12.68412563,80.67713699,14
Maduravoyal Erikkarai stop,11.6927941,78.74662894,9
Tollgate,11.36839512,80.09494567,3
Rajakadai,13.31147666,79.56090898,5
Thiruvotriyur,14.89406503,80.73468482,16
Ernavoor Bridge,13.12236293,78.40708536,10
Sathiyamoorthy nagar,12.33697927,79.73419059,15
MFL,11.10963648,78.66329641,17
Manjambakkam,13.00362416,80.33558015,6
Madhavaram Bridge Under,13.7658396,79.73834133,20
Korattur Bs,12.1614261,78.29487158,11
Britania Company,13.83754067,78.16349884,19
Ambathur Estate,13.92496958,78.54254956,4
Mogappair West,11.67852439,79.86006418,5
Porur Tollgate,13.52809499,78.00666947,8
MM Nagar,11.39060239,80.91182019,3
Ford Gate,12.98743372,80.63006645,17
Keelakaranai,11.51332182,78.73127754,1
Sp koil,11.20641543,78.45365189,18
Adyar Aavin park,12.35348278,79.84679041,8
Besant nagar Bus stop,14.97513071,80.73784693,6
Vannandurai Bus stop,14.2624429,80.94788259,2
Adyar Bus depot,13.81033658,79.27672008,20
Thiruvanmiyur signal,14.94595914,80.34381369,15
SRP Tools Bus stop,11.6349872,80.27384813,6
Vijayanagar Bus stop,13.62631712,78.95368087,15
Kaiveli Bus stop,14.15530437,79.73545082,7
Pallikaranai Bus stop,11.10021634,80.71810474,12
Medavakkam Bus Stop,14.400313,79.35107445,19
Medavakkam Koot Road,12.15795092,78.66075657,17
Santhoshpuram Bus stop,12.13590847,80.11809408,11
Kamaraj nagar Busstop,12.21866597,78.58416713,18
Camproad Bus stop,11.37294953,80.28564128,6
MCC college bus stop,13.33324415,78.17381515,2
Vandalur Bridge Down,12.38376603,79.23745687,9
Karasangal,12.85710572,79.71292538,8
Tollgate (Walaja),12.65709582,80.63836628,0
Kaveripakkam BS,11.05915366,79.22917282,1
Ocheri,12.03869141,79.12056981,9
Perumpulibakkam,13.9659678,79.70338463,17
Dhammal,13.44664874,79.42206155,5
Baluchetty bypass road,11.30252501,79.32898023,9
White gate,14.29752588,78.34000556,0
Ponnerikarai by-pass,11.13366811,79.62623924,13
Pillaichatram,14.02172786,78.63118023,4
Sandavellore,11.50072947,78.53889011,11
Sunguvarchatram BS,14.59124555,80.17497918,2
Deepika hospital,13.85349604,78.20128526,19
Ekkanampettai,11.07469151,80.04191781,4
Varanavasi,14.05354906,80.46897907,12
Mathur,12.85328433,80.13477791,8
