Boarding Points,Latitude,Longitude,Demand
Avadi Bs,19.23265045,76.56940995,4
Avadi check post,19.00559102,75.38512475,16
Ponnu super market,19.98473559,79.01973139,11
J.P.Estate,19.79790875,77.26744816,2
Paruthipattu,19.46915888,76.31849311,14
Kaduvetti,19.90526434,77.52500917,8
Seeneerkuppam,19.31908393,77.92381721,3
Seeneer bridge,19.3159002,80.14516377,2
Karayanchavadi,19.13788667,79.8794577,17
Kallarai,19.59823778,77.43974981,8
GRT,19.8591629,80.33258303,17
Beer company signal,19.86097622,77.26031385,4
Nazarath pettai,19.41035689,75.37463027,12
Thirumilashai Signal,19.89394745,76.98424662,8
Sembarambakkam,19.23586377,75.5452628,8
Pappanchatram,19.50428705,78.93136847,5
Spr checkpost,19.43929257,80.04534064,6
Spr Bs,19.48211823,78.66122646,4
High school,19.0045716,80.79460137,17
Thiruvallur Bs,19.3926868,78.89229425,10
Kakkallur Signal,19.02607822,76.09071413,5
Manavalanagar Bridge,19.17759391,80.05709694,7
Manavalanagar Signal,19.60165199,80.3029861,16
Keel Nallathur,19.40619206,75.99281518,8
Mel Nallathur,19.18971936,77.02665675,16
Pollivakkkam,19.58835383,78.94640126,15
Kattukoot road,19.96631243,80.45828024,0
Om Nagar,19.90018201,80.00939059,9
Thodukadu,19.45803322,76.11759875,2
Chrompet RLY Station,19.29110547,77.6149841,7
MIET,19.44454534,75.33138023,20
MEPZ,19.52542841,75.33441343,5
Tambaram,19.10073176,80.29918289,0
Tambaram u birdge,19.45729014,75.40120488,17
Irumbuliyur,19.25548825,78.83893523,11
Erikkarai,19.68957185,78.24311387,14
Perungalathur,19.43714044,80.32404443,15
Salamangalam,19.38138135,79.42010468,4
ESI Hospital,19.743572,79.30720841,3
Mudichur Kulam stop,19.01064397,77.85764165,17
Old perungalathur,19.74592365,80.8637262,10
Krishna Nagar,19.90733348,77.14916167,8
Mudichur church,19.91953139,78.99896134,0
Manimangalam,19.7114247,76.85327065,10
Lakshmi Nagar,19.15142438,79.43965887,7
Chengalpet GH,19.94093726,78.02420693,3
Chengalpet new BS,19.0051847,77.43177446,1
Paranur toll,19.11900743,79.39456153,8
Mahendra city,19.03055039,75.32895717,6
SP Koil Bus Stand,19.6914765,79.61955776,19
Kattankolathur BS,19.24227741,79.63894082,0
Potheri/SRM,19.18857971,78.29619046,16
Guduvanchery Bus Stand,19.19390026,77.50888702,20
Urappakkam Bus Stand,19.75983985,79.17753091,6
Vandalur bus stand,19.13393932,78.86838254,15
Vandalur over bridge,19.33615058,78.49873565,9
Loiee (padappai),19.60118492,75.1523598,14
Arun Excello,19.16900159,77.80407166,1
Padappai Petrol bunk,19.68622943,80.87328072,1
Jamai Ice cream,19.71130338,78.79471329,4
Seprananchery,19.95212359,80.77015548,7
Pookadai chatram,19.66179056,79.66765862,2
Kanchipuram BS,19.92854144,79.74194913,10
Mongilmandapam,19.41792662,78.7050888,11
Housing board,19.62829912,79.29043897,3
Orrikai Depo,19.29549746,75.68218945,13
Periyarnagar,19.4958417,77.47791118,6
Iyyempettai,19.66199124,76.99477502,17
Ekkanampet,19.49321156,77.25976635,7
Walajabad,19.659843,76.51340612,14
Deveripakkam,19.55312081,77.68528278,6
Varanavasi,19.90379669,78.15233726,11
Panruti,19.62593424,79.56993322,12
Vallam Plant,19.65360852,75.03532372,17
Retteri Signal,19.53184294,78.24115293,0
Padi bridge under,19.17192196,80.39804307,2
Rohini theatre (bus stop),19.62466291,78.2526266,16
Nerkundram Bus stop,19.58670104,80.3028679,20
Onion Mandi,19.82359398,78.56605664,6
MGR university bus stop,19.34478582,76.48953766,4
Ration shop,19.81098628,75.02543634,9
Maduravoyal Erikkarai stop,19.42853241,75.66178928,11
Tollgate,19.9399626,76.02546162,6
Rajakadai,19.67767974,75.01977158,1
Thiruvotriyur,19.93986,77.4399529,0
Ernavoor Bridge,19.33499377,79.11177584,3
Sathiyamoorthy nagar,19.0270994,79.75395582,7
MFL,19.49288759,75.48090359,20
Manjambakkam,19.9345105,77.39044318,19
Madhavaram Bridge Under,19.0016237,77.37510077,13
Korattur Bs,19.6040179,78.68152195,12
Britania Company,19.06121886,80.76214969,13
Ambathur Estate,19.33133058,79.73121824,9
Mogappair West,19.00409787,76.68354208,8
Porur Tollgate,19.19771793,75.9973751,5
MM Nagar,19.57356405,77.30581026,12
Ford Gate,19.89774564,76.01832593,16
Keelakaranai,19.68790074,80.45360718,5
Sp koil,19.33062121,76.2160676,18
Adyar Aavin park,19.80529167,77.63177871,9
Besant nagar Bus stop,19.54720095,75.99527508,10
Vannandurai Bus stop,19.8023197,80.72440019,19
Adyar Bus depot,19.35539758,80.81148642,3
Thiruvanmiyur signal,19.78485424,80.94681249,12
SRP Tools Bus stop,19.71776404,77.81018002,14
Vijayanagar Bus stop,19.11084807,78.22460767,14
Kaiveli Bus stop,19.8869642,75.48038814,17
Pallikaranai Bus stop,19.7613483,75.54355886,20
Medavakkam Bus Stop,19.91352475,77.51358856,1
Medavakkam Koot Road,19.35708404,78.55153228,19
Santhoshpuram Bus stop,19.00355861,80.59638499,1
Kamaraj nagar Busstop,19.5407756,79.84705313,5
Camproad Bus stop,19.90752637,79.96794608,8
MCC college bus stop,19.21049445,79.04059413,19
Vandalur Bridge Down,19.90200187,78.94780293,3
Karasangal,19.89051039,75.73586837,18
Tollgate (Walaja),19.70174561,77.64239967,0
Kaveripakkam BS,19.35437991,80.79548782,15
Ocheri,19.65247784,79.54823838,19
Perumpulibakkam,19.24057676,75.88223792,20
Dhammal,19.84717104,79.70367405,3
Baluchetty bypass road,19.39996119,79.7003297,1
White gate,19.64754784,78.50803382,20
Ponnerikarai by-pass,19.84215296,79.95926383,6
Pillaichatram,19.16216823,77.16763252,20
Sandavellore,19.89928888,75.21739532,11
Sunguvarchatram BS,19.11643388,76.92743282,7
Deepika hospital,19.09923386,78.93746404,9
Ekkanampettai,19.1426062,79.26030393,18
Varanavasi,19.62118819,75.53718099,0
Mathur,19.69710624,80.38373912,0
Thanthondri amman koil,19.84383217,78.30004713,9
SPR Mani Konndu,19.23062774,79.27261413,12
Theradi,19.05806858,79.42257971,14
Sumathi Theatre,19.83173724,79.99083522,19
Thirutheri,19.34757578,80.94099175,8
