Boarding Points,Latitude,Longitude,Demand
Avadi Bs,20.55394974,37.27941373,6
Avadi check post,23.42959397,42.26147117,6
Ponnu super market,21.09155964,40.56279598,19
J.P.Estate,22.96105138,41.76937334,16
Paruthipattu,24.86113482,35.95874163,17
Kaduvetti,21.69721753,39.81285826,19
Seeneerkuppam,21.48004463,42.22952955,5
Seeneer bridge,24.55199575,37.31434613,17
Karayanchavadi,21.54036676,42.83965101,7
Kallarai,21.86854537,43.93049818,5
GRT,20.26865848,44.32702128,20
Beer company signal,20.9261824,42.38867021,14
Nazarath pettai,23.51001519,43.81270504,15
Thirumilashai Signal,23.58287453,36.55530809,16
Sembarambakkam,24.36327702,35.37437468,10
Pappanchatram,23.63040169,35.8934329,17
Spr checkpost,20.70990168,43.0370349,12
Spr Bs,24.19970317,42.00167651,16
High school,23.91393734,39.91863486,11
Thiruvallur Bs,21.94994864,39.22947694,10
Kakkallur Signal,23.26868334,39.35650883,13
Manavalanagar Bridge,23.87349931,37.94349514,6
Manavalanagar Signal,24.91599773,44.34375715,11
Keel Nallathur,24.70913895,44.00346152,13
Mel Nallathur,22.5854984,40.26482239,13
Pollivakkkam,24.6011307,44.16419888,16
Kattukoot road,20.53255396,35.83175062,20
Om Nagar,20.78706934,35.2359255,17
Thodukadu,21.69218351,41.19982094,8
Chrompet RLY Station,23.89242478,36.29081833,14
MIET,20.8439844,38.07389124,20
MEPZ,20.38152923,36.66643641,10
Tambaram,23.82211317,39.99428116,19
Tambaram u birdge,24.29440439,42.22280708,19
Irumbuliyur,20.87929496,43.33281748,19
Erikkarai,23.89478749,38.02079556,20
Perungalathur,22.01865523,44.16649966,18
Salamangalam,22.93242944,39.30689467,15
ESI Hospital,22.75490092,42.08056862,13
Mudichur Kulam stop,22.30739177,44.1045961,14
Old perungalathur,24.74351672,39.04323816,14
Krishna Nagar,23.88987772,42.46354018,14
Mudichur church,20.94799537,37.02727698,16
Manimangalam,22.60866267,38.66106979,14
Lakshmi Nagar,22.29153319,44.77703072,9
Chengalpet GH,20.52723792,36.01401586,8
Chengalpet new BS,24.22037467,38.74264205,8
Paranur toll,22.39668321,39.77849862,9
